"Gemiddelde bevolking; geslacht, leeftijd, burgerlijke staat en regio",,,
,Onderwerpen,Totale bevolking,Totale bevolking
,Onderwerpen,Mannen en Vrouwen,Mannen en Vrouwen
Totaal alle leeftijden,Goirle,23056,23062.5
Totaal alle leeftijden,Gorinchem,35290,35299
Totaal alle leeftijden,Gouda,71023,71147
Totaal alle leeftijden,Grave,12767.5,12741.5
Totaal alle leeftijden,'s-Gravenhage (gemeente),511900.5,517424.5
Totaal alle leeftijden,Groesbeek,18970,34416
Totaal alle leeftijden,Groningen (gemeente),199326.5,200644
Totaal alle leeftijden,Grootegast,12144,12139
Totaal alle leeftijden,Gulpen-Wittem,14490.5,14502.5
Totaal alle leeftijden,Haaksbergen,24325.5,24319.5
Totaal alle leeftijden,Haaren,13555,13546.5
Totaal alle leeftijden,Haarlem,155896,157392.5
Totaal alle leeftijden,Haarlemmerliede en Spaarnwoude,5554.5,5576
Totaal alle leeftijden,Haarlemmermeer,144106.5,144335
Totaal alle leeftijden,Halderberge,29412,29507.5
Totaal alle leeftijden,Hardenberg,59577,59632
Totaal alle leeftijden,Harderwijk,45754,45871
Totaal alle leeftijden,Hardinxveld-Giessendam,17780,17788
Totaal alle leeftijden,Haren,18853,19000
Totaal alle leeftijden,Harlingen,15800,15796
Totaal alle leeftijden,Hattem,11776.5,11855.5
Totaal alle leeftijden,Heemskerk,39113,39218.5
Totaal alle leeftijden,Heemstede,26422,26623
Totaal alle leeftijden,Heerde,18501,18534
Totaal alle leeftijden,Heerenveen,50020,50215.5
Totaal alle leeftijden,Heerhugowaard,53430.5,53740.5
Totaal alle leeftijden,Heerlen,87879.5,87453
Totaal alle leeftijden,Heeze-Leende,15415,15563.5
Totaal alle leeftijden,Heiloo,22594.5,22621
Totaal alle leeftijden,Den Helder,56540,56379
Totaal alle leeftijden,Hellendoorn,35666.5,35636.5
Totaal alle leeftijden,Hellevoetsluis,38917.5,38758
Totaal alle leeftijden,Helmond,89487,89922.5
Totaal alle leeftijden,Hendrik-Ido-Ambacht,29033.5,29282
Totaal alle leeftijden,Hengelo (O.),81008,81067
Totaal alle leeftijden,'s-Hertogenbosch,143951.5,151248.5
Totaal alle leeftijden,Heumen,16358.5,16371.5
Totaal alle leeftijden,Heusden,43148.5,43203
Totaal alle leeftijden,Hillegom,21022.5,21095
Totaal alle leeftijden,Hilvarenbeek,15067,15103
Totaal alle leeftijden,Hilversum,86793.5,87495.5
Totaal alle leeftijden,Hof van Twente,34957,34899
Totaal alle leeftijden,Hollands Kroon,47524,47546
Totaal alle leeftijden,Hoogeveen,54762,55050
Totaal alle leeftijden,Hoogezand-Sappemeer,34319,34255.5
Totaal alle leeftijden,Hoorn,71791.5,72026
Totaal alle leeftijden,Horst aan de Maas,41694,41668
Totaal alle leeftijden,Houten,48529,48701
