,regio,count_2014,count_2015,uitgaven_ov,aantal_verdachten,toename_bevolking
84,Ede,111115.5,112001.0,4964000.0,890.0,0.007969185217183922
85,Eemnes,8793.0,8842.0,238000.0,50.0,0.00557261457977937
86,Eemsmond,15849.0,15792.5,160000.0,110.0,-0.0035648936841441103
87,Eersel,18265.0,18449.0,395000.0,110.0,0.010073911853271283
88,Eijsden-Margraten,24973.0,25045.0,325000.0,110.0,0.002883113762863893
89,Eindhoven,222064.5,223982.0,17306000.0,2410.0,0.008634878605089963
90,Elburg,22744.0,22886.0,349000.0,120.0,0.006243404854027436
91,Emmen,107913.5,107679.5,1367000.0,790.0,-0.002168403397165322
92,Enkhuizen,18360.5,18400.0,648000.0,130.0,0.0021513575338362244
93,Enschede,158569.5,158452.0,330000.0,1570.0,-0.0007410000031531915
94,Epe,32282.5,32248.0,1102000.0,230.0,-0.0010686904669712693
95,Ermelo,26117.5,26348.5,592000.0,250.0,0.008844644395520245
96,Etten-Leur,42430.0,42667.5,1135000.0,220.0,0.0055974546311572
97,Ferwerderadiel,8764.0,8719.5,85000.0,40.0,-0.0050775901414879055
98,Franekeradeel,20386.5,20296.5,403000.0,140.0,-0.004414686189390038
99,Geertruidenberg,21572.5,21602.0,513000.0,140.0,0.0013674817475953182
100,Geldermalsen,26311.5,26334.5,434000.0,160.0,0.0008741424852250917
101,Geldrop-Mierlo,38866.5,38886.0,1542000.0,280.0,0.0005017174173131102
102,Gemert-Bakel,29414.0,29580.0,279000.0,210.0,0.005643571088597267
103,Gennep,17283.0,17182.5,271000.0,130.0,-0.005814962680090262
104,Giessenlanden,14453.0,14504.0,153000.0,70.0,0.0035286791669549575
105,Gilze en Rijen,26067.0,26108.5,322000.0,180.0,0.0015920512525415275
106,Goeree-Overflakkee,48225.5,48263.5,1983000.0,310.0,0.0007879648733553825
107,Goes,37053.5,37180.0,919000.0,370.0,0.003413982484785513
108,Goirle,23056.0,23062.5,335000.0,110.0,0.0002819222761970854
109,Gorinchem,35290.0,35299.0,2330000.0,400.0,0.0002550297534712383
110,Gouda,71023.0,71147.0,3699000.0,900.0,0.0017459132956929445
111,Grave,12767.5,12741.5,904000.0,140.0,-0.002036420599177599
112,Groesbeek,18970.0,34416.0,355000.0,110.0,0.8142329994728519
113,Groningen (gemeente),199326.5,200644.0,149000.0,2150.0,0.006609758361281616
114,Grootegast,12144.0,12139.0,125000.0,70.0,-0.00041172595520421606
115,Gulpen-Wittem,14490.5,14502.5,253000.0,80.0,0.0008281287740243608
116,Haaksbergen,24325.5,24319.5,1321000.0,100.0,-0.0002466547450206573
117,Haaren,13555.0,13546.5,126000.0,60.0,-0.0006270748801180376
118,Haarlem,155896.0,157392.5,12612789.0,990.0,0.009599348283471032
119,Haarlemmerliede en Spaarnwoude,5554.5,5576.0,125000.0,20.0,0.003870735439733549
120,Haarlemmermeer,144106.5,144335.0,2656000.0,730.0,0.0015856328479284419
121,Halderberge,29412.0,29507.5,483000.0,180.0,0.0032469740242078065
122,Hardenberg,59577.0,59632.0,469000.0,220.0,0.0009231750507746278
123,Harderwijk,45754.0,45871.0,913000.0,360.0,0.0025571534729204003
124,Hardinxveld-Giessendam,17780.0,17788.0,618000.0,70.0,0.0004499437570303712
125,Haren,18853.0,19000.0,116000.0,70.0,0.007797167559539596
126,Harlingen,15800.0,15796.0,805000.0,120.0,-0.00025316455696202533
127,Hattem,11776.5,11855.5,185000.0,70.0,0.006708274954358256
128,Heemskerk,39113.0,39218.5,899000.0,200.0,0.0026973129138649554
129,Heemstede,26422.0,26623.0,393000.0,90.0,0.007607296949511771
130,Heerde,18501.0,18534.0,345000.0,120.0,0.0017836873682503648
131,Heerenveen,50020.0,50215.5,90000.0,300.0,0.00390843662534986
132,Heerhugowaard,53430.5,53740.5,772000.0,490.0,0.005801929609492705
133,Heerlen,87879.5,87453.0,9121000.0,1300.0,-0.004853236534117741
134,Heeze-Leende,15415.0,15563.5,237000.0,70.0,0.00963347388906909
135,Heiloo,22594.5,22621.0,374000.0,130.0,0.0011728518002168669
136,Den Helder,56540.0,56379.0,2044000.0,590.0,-0.002847541563494871
137,Hellendoorn,35666.5,35636.5,709000.0,120.0,-0.0008411254258197468
138,Hellevoetsluis,38917.5,38758.0,1369000.0,520.0,-0.00409841331020749
139,Helmond,89487.0,89922.5,3015000.0,850.0,0.004866628672321119
140,Hendrik-Ido-Ambacht,29033.5,29282.0,582000.0,150.0,0.008559078306094684
141,Heumen,16358.5,16371.5,209000.0,60.0,0.0007946938900265917
142,Heusden,43148.5,43203.0,1108406.0,360.0,0.001263079828962768
143,Hillegom,21022.5,21095.0,599000.0,130.0,0.0034486859317398024
144,Hilvarenbeek,15067.0,15103.0,327000.0,50.0,0.00238932766974182
145,Hof van Twente,34957.0,34899.0,424000.0,120.0,-0.0016591812798581113
146,Hollands Kroon,47524.0,47546.0,1022000.0,260.0,0.00046292399629660805
147,Hoogeveen,54762.0,55050.0,2204000.0,460.0,0.0052591212884847156
148,Hoogezand-Sappemeer,34319.0,34255.5,630000.0,320.0,-0.001850287013024855
149,Hoorn,71791.5,72026.0,2874000.0,700.0,0.0032664034043027377
150,Horst aan de Maas,41694.0,41668.0,178000.0,260.0,-0.0006235909243536241
151,Houten,48529.0,48701.0,895000.0,240.0,0.0035442724968575492
152,Huizen,41280.0,41344.0,935000.0,370.0,0.0015503875968992248
153,Hulst,27374.0,27366.0,930000.0,180.0,-0.0002922481186527362
154,IJsselstein,34168.0,34081.0,342000.0,260.0,-0.0025462420978693513
155,Kaag en Braassem,25794.5,25976.0,62000.0,120.0,0.007036383725212739
156,Kampen,51262.0,51691.0,1326000.0,270.0,0.00836877218992626
157,Kapelle,12522.5,12592.0,19000.0,60.0,0.005550009982032342
158,Kerkrade,46654.0,46273.5,2404000.0,560.0,-0.008155785141681313
159,Koggenland,22455.5,22448.5,509000.0,110.0,-0.00031172763910845895
160,Kollumerland en Nieuwkruisland,12856.5,12823.0,318000.0,80.0,-0.002605685839847548
161,Korendijk,10740.0,10801.5,47000.0,50.0,0.0057262569832402235
162,Krimpen aan den IJssel,28897.5,29012.0,672000.0,240.0,0.003962280474089454
163,Laarbeek,21857.5,21939.0,387000.0,120.0,0.003728697243509093
164,Landerd,15278.0,15296.5,187000.0,90.0,0.001210891477942139
165,Landgraaf,37514.5,37460.5,1358000.0,320.0,-0.0014394434152127844
166,Landsmeer,10633.5,10900.0,214000.0,70.0,0.025062303098697513
167,Langedijk,27111.0,27367.0,90000.0,140.0,0.009442661650252666
168,Lansingerland,57627.5,58584.0,1654000.0,460.0,0.016597978395731204
169,Leek,19537.5,19507.0,567000.0,120.0,-0.001561100447856686
170,Leerdam,20579.0,20639.5,595000.0,200.0,0.0029398901793090044
171,Leeuwarden,107516.5,107794.0,4462000.0,1330.0,0.002580999195472323
172,Leeuwarderadeel,10249.5,10198.0,113000.0,40.0,-0.005024635348065759
173,Leiden,121362.5,122061.5,2679000.0,1410.0,0.005759604490678752
